,direction,probability,speed
53,340.0,0.024602028347226256,4.0
54,340.0,0.02976002981508261,5.0
55,340.0,0.029253013652074847,6.0
56,340.0,0.023368872492029066,7.0
57,340.0,0.015019673515764649,8.0
58,340.0,0.007647792891094422,9.0
59,340.0,0.0030284463860987213,10.0
60,340.0,0.0009137738527400636,11.0
61,340.0,0.00020557980975776673,12.0
62,340.0,3.3718395140939085e-05,13.0
63,340.0,3.939694677861399e-06,14.0
64,340.0,3.202918317854629e-07,15.0
65,350.0,0.007296010154039011,3.0
66,350.0,0.011696786360854581,4.0
67,350.0,0.015412329483602561,5.0
68,350.0,0.017211155792889246,6.0
69,350.0,0.016428576842714697,7.0
70,350.0,0.013381868161395864,8.0
71,350.0,0.009236571445188984,9.0
72,350.0,0.00534798747267531,10.0
73,350.0,0.002566465754688255,11.0
74,350.0,0.0010073652024903633,12.0
75,350.0,0.0003188743936638592,13.0
76,350.0,8.021418059788886e-05,14.0
77,350.0,1.5794755199400077e-05,15.0
78,0.0,0.0032348510496979614,3.0
79,0.0,0.0052490100907726005,4.0
80,0.0,0.007055395065555237,5.0
81,0.0,0.008116252576542894,6.0
82,0.0,0.008074920276169137,7.0
83,0.0,0.0069502143253374745,8.0
84,0.0,0.005149153234706341,9.0
85,0.0,0.0032569376896618286,10.0
86,0.0,0.0017412018317117485,11.0
87,0.0,0.0007779393490487305,12.0
88,0.0,0.0002869618905173423,13.0
89,0.0,8.628835707750916e-05,14.0
90,0.0,2.087426320119893e-05,15.0
91,10.0,0.007296010154039011,3.0
92,10.0,0.011696786360854581,4.0
93,10.0,0.015412329483602561,5.0
94,10.0,0.017211155792889246,6.0
95,10.0,0.016428576842714697,7.0
96,10.0,0.013381868161395864,8.0
97,10.0,0.009236571445188984,9.0
98,10.0,0.00534798747267531,10.0
99,10.0,0.002566465754688255,11.0
100,10.0,0.0010073652024903633,12.0
101,10.0,0.0003188743936638592,13.0
102,10.0,8.021418059788886e-05,14.0
103,10.0,1.5794755199400077e-05,15.0
104,20.0,0.008266560715976829,3.0
105,20.0,0.013064651067375588,4.0
106,20.0,0.016813744605223082,5.0
107,20.0,0.018127480558485492,6.0
108,20.0,0.01647472682034558,7.0
109,20.0,0.012571259072551114,8.0
110,20.0,0.007979262064101897,9.0
111,20.0,0.004160750223063989,10.0
112,20.0,0.0017570283099239649,11.0
113,20.0,0.0005915864441426904,12.0
114,20.0,0.00015622773254286092,13.0
115,20.0,3.181334612405484e-05,14.0
116,20.0,4.909040142849301e-06,15.0
117,30.0,0.006306303335831038,3.0
118,30.0,0.009857340093773235,4.0
119,30.0,0.012457546731166861,5.0
120,30.0,0.01307162137385075,6.0
121,30.0,0.01143866926536445,7.0
122,30.0,0.008299773090681892,8.0
123,30.0,0.004938201208743738,9.0
124,30.0,0.0023752444488692585,10.0
125,30.0,0.0009088277937621847,11.0
126,30.0,0.0002718606467321506,12.0
127,30.0,6.243012789071298e-05,13.0
128,30.0,1.0800892340385962e-05,14.0
129,30.0,1.3809909933506206e-06,15.0
130,40.0,0.007602091559471178,3.0
131,40.0,0.012132840165048968,4.0
132,40.0,0.015868886630060784,5.0
133,40.0,0.01752620812155377,6.0
134,40.0,0.016473225016121047,7.0
135,40.0,0.013145608540424467,8.0
136,40.0,0.008837471105104706,9.0
137,40.0,0.004951221577154628,10.0
138,40.0,0.0022824287374917647,11.0
139,40.0,0.000853703328036529,12.0
140,40.0,0.0002552701047675203,13.0
141,40.0,6.008654722688915e-05,14.0
142,40.0,1.0958567537752055e-05,15.0
143,50.0,0.004040130617819708,3.0
144,50.0,0.006790014769291986,4.0
145,50.0,0.009670749994667131,5.0
146,50.0,0.012128484123854071,6.0
147,50.0,0.013612607941628592,7.0
148,50.0,0.013755193813278289,8.0
149,50.0,0.012521500805822445,9.0
150,50.0,0.01024335041887228,10.0
151,50.0,0.007497681579345919,11.0
152,50.0,0.004882874118055689,12.0
153,50.0,0.0028111619746425307,13.0
154,50.0,0.0014206888539278816,14.0
155,50.0,0.000625560988793493,15.0
156,60.0,0.001099548127920002,3.0
157,60.0,0.001858015512424818,4.0
158,60.0,0.0026701104086580075,5.0
159,60.0,0.003393746266084183,6.0
160,60.0,0.003880734794906911,7.0
161,60.0,0.004019923546132665,8.0
