,ouu_det_power,ouu_exp_power,det_exp_power,det_det_power,base_exp_power,base_det_power,ws,dir
157,-61068942.992428005,60594556.198,60594549.646,-61068945.94,60594558.202,-61068940.33619882,15.0,10
158,-61082846.174884886,60388535.327,60389943.407,-61084310.92,60389978.363,-61084283.60141404,15.0,20
159,-61065558.86507818,60235476.598,60234954.63,-61072010.04,60236108.592,-61071430.10242863,15.0,30
160,-61071172.50261916,60553286.793,60553291.643,-61071190.3,60553294.87,-61071186.132467486,15.0,40
161,-61046206.03256816,60583495.911,60583739.146,-61046673.11,60583778.448,-61046652.12311499,15.0,50
162,-61069943.190796785,60568205.289,60568034.995,-61070098.08,60568208.684,-61069817.5695028,15.0,60
163,-61071792.35631115,60546924.303,60547175.803,-61071978.31,60547182.848,-61071963.84071802,15.0,350
164,-61081021.1700262,60420924.774,60422003.385,-61082213.18,60422014.511,-61082177.33196921,15.0,340
165,-61060284.273145504,60302551.252,60301981.613,-61063622.79,60303099.409,-61062777.530637585,15.0,330
166,-61071274.428691305,60556970.725,60556972.445,-61071286.46,60556977.671,-61071282.364430025,15.0,320
167,-61043367.4617649,60588215.302,60588326.253,-61043578.44,60588362.827,-61043545.20908326,15.0,310
168,-61070492.8057165,60578233.774,60578060.167,-61070565.0,60578286.092,-61070365.450770244,15.0,300
