%eval_id interface             d1             d2             d3             d4             d5             d6             d7             d8             d9            d10            d11         obj_fn 
13           NO_ID -0.003709155479 -0.003687359258 -0.002994305618 -0.00296343699   0.3418260428   0.3417219697 -0.001585188367 -0.002937463567   0.3151728974   0.3108168623    0.208526291   -50463289.86 
14           NO_ID -0.007924346329 -0.007846060025 -0.006337493741 -0.006231994841   0.3177461586   0.3176077094 -0.003437720635 -0.006209870477   0.2913092207   0.2986413728   0.1850767603   -50612717.28 
15           NO_ID -0.003883697447 -0.003771584239 -0.00177467971 -0.001624491354   0.3098916032   0.3097325693 0.002017715074 -0.00160467185   0.2835841328    0.252437931   0.1775996677    -50719393.2 
16           NO_ID -0.01100895382 -0.01085105871 -0.008193229027 -0.007982557214   0.2866671783   0.3255518043 -0.003192745125 -0.007965857145   0.2605349314   0.2321135173   0.1548861072   -50798694.34 
17           NO_ID -0.01783696801 -0.01763521457 -0.01434422904 -0.01407561503   0.3044279914   0.3007563243 -0.008186414854 -0.01406190333   0.2384520296    0.212650193   0.1331247442   -50865454.56 
18           NO_ID -0.02411732781 -0.02387532332 -0.02000325809 -0.01968146755   0.2795247526   0.2780390296 -0.01278330238 -0.01967049843   0.2597243801   0.1948344181   0.1131392819   -50917134.08 
19           NO_ID  -0.0297120607 -0.02943437866 -0.02504725861 -0.02467833369   0.2575288723   0.2579808275 -0.01688584664 -0.02466979553   0.2359663956   0.1791367108   0.1386059532   -50979527.26 
20           NO_ID  0.01572573279 -0.03434018163 -0.02964055453 -0.02924303105   0.2484426427    0.250076356 -0.02090791846 -0.02923596786   0.2257727713   0.1747495651   0.1305946526   -51005261.48 
21           NO_ID  0.01570512619 -0.01690585085 -0.04755601264 -0.02920066928   0.2483249246   0.2499584698 -0.02086555669 -0.02919360609     0.22565611   0.1746075913   0.1304800159    -51001614.2 
22           NO_ID  0.01345062015 -0.00625564617 -0.0003831810978 -0.03618832218   0.2350804682   0.2384875206  -0.0270391257 -0.03618347185   0.2107467867   0.1684928295   0.1188381021   -51049397.93 
23           NO_ID  0.01161496278 -0.008226736355 -0.0006060584473 -0.04196966967   0.2242937178   0.2291589559 -0.03215119636 0.008181095676   0.1985903971   0.1635885418   0.1093661727   -51084379.72 
24           NO_ID  0.01157793979 -0.008263263182 -0.0006354224385 -0.02456827404   0.2240822186   0.2289471548 -0.05009405086 0.008152353372   0.1983807969   0.1633334635   0.1091602101   -51082488.33 
25           NO_ID 0.008878255787 -0.01117173874 -0.000889148622 -0.01557219764   0.2082002104    0.215298166 -0.004675781925 0.006672041385   0.1803965562   0.1565858201  0.09527437913    -51140702.2 
26           NO_ID 0.006529684599 -0.01403139783 0.001428497841 -0.01632458841   0.1937655724   0.2058388242 -0.001897433647 0.006212081854   0.1611196712   0.1154572012  0.08471792623    -51165478.1 
