,nacelleOffset,WS1_90m_mean,ApparentPower_mean,WS1_90m_std,WD_Nacelle_mean,offset
53,0.0505548497396,4.62286250667,62.5131833977,0.132377484361,-1.627971092,0.0
54,0.0580104804244,4.42242416945,57.6635847291,0.0457938137323,0.046994468,0.0
55,0.0642499458333,5.15842224,113.125210486,0.0748642281991,0.708009429,0.0
56,-0.0233132416667,5.17880194667,113.073700176,0.184769010163,-1.197634398,0.0
57,0.0428930708333,5.00486352,106.677401748,0.106166129131,-1.719618234,0.0
58,-0.00588069244792,5.08983538667,96.8877262348,0.103642922032,2.0875643,0.0
59,0.0108755557292,5.08062728,91.6168216573,0.0861806695435,2.550090549,0.0
60,-0.0128886156625,4.39480376416,52.5427979567,0.0729980097945,-3.017153413,0.0
62,-0.00910202109375,4.59300386667,68.3529951585,0.198939603092,-3.039038433,0.0
66,0.0236718833333,5.47231034667,204.422816656,0.483106412903,-4.360033895,0.0
67,-0.00577390807292,5.54908970667,188.364000425,0.117474597063,-1.258036414,0.0
68,0.0219110928119,5.52555953969,172.713355023,0.109748822494,-0.973630414,0.0
69,0.0116643206612,5.40732516322,159.819323871,0.114941079464,3.435121795,0.0
73,0.00835722421875,5.15456296,142.638013311,0.183558429819,4.473429945,0.0
92,0.0310489039062,4.50674557333,75.6987521219,0.076211625893,5.878634449,0.0
94,-0.0150908447917,5.42538962667,158.953533349,0.192556333298,-4.104896699,0.0
95,-0.0199762299479,5.30676754667,201.228111869,0.26480070647,-1.372728453,0.0
96,0.0577449976562,5.11346501333,208.104604597,0.336690397142,0.938048229,0.0
97,-0.03320859375,4.9061472,181.20931443,0.293828840122,5.226555594,0.0
98,0.0575937197917,5.10892866667,159.620405561,0.153478119808,5.89755937,0.0
101,0.002777740625,5.52891312,119.40138963,0.11944645562,5.326571911,0.0
103,-0.0313398671875,4.81961808,71.2128037534,0.25878884352,-0.545292078,0.0
104,0.0489530841146,4.84961213333,66.4617348797,0.122552511606,-0.285627769,0.0
105,0.00178108645833,4.56720762667,63.0527445638,0.0655732797988,-4.680236965,0.0
108,0.0188052144924,5.47992601599,145.903103174,0.176271616061,2.008144446,0.0
110,0.0165974184896,6.04297598667,228.180062549,0.100458816043,4.050376626,0.0
112,0.0184572463542,5.84625426667,187.78078149,0.140734301982,1.243991877,0.0
113,0.0185462333333,6.10929466667,204.326773731,0.10548436098,5.784264693,0.0
114,0.00736946875,6.19714406667,219.762233475,0.293144188823,4.426865154,0.0
115,0.0211268557292,6.67153082667,233.180765182,0.195722980981,0.377772278,0.0
116,0.0145863127604,6.41350072,236.525143064,0.198919725663,0.172418867,0.0
118,0.0201035054687,6.37822554667,260.596262725,0.0951780528765,0.327537158,0.0
119,-0.000612663281251,6.22348196,273.985676035,0.151401649204,-1.758390169,0.0
120,0.0272491598958,6.04707224,242.426022196,0.0895247429023,-3.385633957,0.0
121,0.0380076856771,6.05313198667,233.681162019,0.115181639397,-3.252691683,0.0
122,0.0203260678994,6.23725868579,233.541821943,0.184199377026,-2.594335927,0.0
123,0.00722708958333,6.07385022667,218.879094906,0.12786257125,0.994270094,0.0
124,-0.000728346354167,6.26055136,241.7946124,0.138911331351,1.238999764,0.0
125,0.00794788411458,6.41515953333,249.800294248,0.0981681346214,2.812599619,0.0
